ymd_hm,time,gust_kmh,air_temp,rain_trace
2017-06-01T14:30:00Z,14:30:00,19,13.1,0
2017-06-01T14:00:00Z,14:00:00,19,13.1,0
2017-06-01T13:30:00Z,13:30:00,13,13.3,0
2017-06-01T13:00:00Z,13:00:00,15,13.4,0
2017-06-01T12:30:00Z,12:30:00,13,13.2,0
2017-06-01T12:00:00Z,12:00:00,15,12.5,0
2017-06-01T11:30:00Z,11:30:00,20,12.2,0
2017-06-01T11:00:00Z,11:00:00,0,11.8,0
2017-06-01T10:30:00Z,10:30:00,7,11.2,0
2017-06-01T10:00:00Z,10:00:00,13,10.9,0
2017-06-01T09:30:00Z,09:30:00,11,10.6,0
2017-06-01T09:00:00Z,09:00:00,9,10.5,0.4
2017-06-01T08:30:00Z,08:30:00,13,10.1,0.4
2017-06-01T08:00:00Z,08:00:00,13,9.9,0.4
2017-06-01T07:30:00Z,07:30:00,15,10,0.4
2017-06-01T07:00:00Z,07:00:00,9,9.8,0.4
2017-06-01T06:30:00Z,06:30:00,11,9.7,0.4
2017-06-01T06:00:00Z,06:00:00,9,9.5,0.4
2017-06-01T05:30:00Z,05:30:00,13,9.4,0.4
2017-06-01T05:00:00Z,05:00:00,17,9.3,0.4
2017-06-01T04:30:00Z,04:30:00,15,9.1,0.4
2017-06-01T04:00:00Z,04:00:00,11,9.5,0.4
2017-06-01T03:30:00Z,03:30:00,11,10.1,0.4
2017-06-01T03:00:00Z,03:00:00,11,10.3,0.4
2017-06-01T02:30:00Z,02:30:00,13,10.3,0.4
2017-06-01T02:00:00Z,02:00:00,11,10.3,0.4
2017-06-01T01:30:00Z,01:30:00,11,10.1,0.4
2017-06-01T01:00:00Z,01:00:00,9,10.1,0.4
2017-06-01T00:30:00Z,00:30:00,7,10.5,0.4
2017-06-01T00:00:00Z,00:00:00,11,10.9,0.4
2017-05-31T23:30:00Z,23:30:00,7,10.9,0.4
2017-05-31T23:00:00Z,23:00:00,9,11.1,0.4
2017-05-31T22:30:00Z,22:30:00,9,11,0.4
2017-05-31T22:00:00Z,22:00:00,11,11,0.4
2017-05-31T21:30:00Z,21:30:00,9,10.9,0.4
2017-05-31T21:00:00Z,21:00:00,11,11.3,0.4
2017-05-31T20:30:00Z,20:30:00,7,11.4,0.4
2017-05-31T20:00:00Z,20:00:00,9,11.6,0.4
2017-05-31T19:30:00Z,19:30:00,19,12.4,0.4
2017-05-31T19:00:00Z,19:00:00,20,12.2,0.4
2017-05-31T18:30:00Z,18:30:00,13,11.5,0.4
2017-05-31T18:00:00Z,18:00:00,20,11.8,0.4
2017-05-31T17:30:00Z,17:30:00,19,12.3,0.4
2017-05-31T17:00:00Z,17:00:00,15,12.3,0.4
2017-05-31T16:30:00Z,16:30:00,24,12.3,0.4
2017-05-31T16:00:00Z,16:00:00,22,12.3,0.4
2017-05-31T15:30:00Z,15:30:00,19,12.2,0.4
2017-05-31T15:00:00Z,15:00:00,26,12.2,0.4
2017-05-31T14:30:00Z,14:30:00,13,11.8,0.4
2017-05-31T14:00:00Z,14:00:00,26,12.4,0.2
2017-05-31T13:30:00Z,13:30:00,26,12.8,0.2
2017-05-31T13:00:00Z,13:00:00,32,11.9,0.2
2017-05-31T12:30:00Z,12:30:00,26,12.4,0.2
2017-05-31T12:00:00Z,12:00:00,22,11.7,0.2
2017-05-31T11:30:00Z,11:30:00,19,12.2,0.2
2017-05-31T11:00:00Z,11:00:00,17,11.4,0.2
2017-05-31T10:30:00Z,10:30:00,17,11.3,0.2
2017-05-31T10:00:00Z,10:00:00,17,9.8,0.2
2017-05-31T09:30:00Z,09:30:00,11,8.2,0.2
2017-05-31T09:00:00Z,09:00:00,17,8,5.4
2017-05-31T08:30:00Z,08:30:00,17,7.9,5.2
2017-05-31T08:00:00Z,08:00:00,11,7.7,5.2
2017-05-31T07:30:00Z,07:30:00,13,7.5,5.2
2017-05-31T07:13:00Z,07:13:00,13,7.5,5.2
2017-05-31T07:01:00Z,07:01:00,13,7.5,5.2
2017-05-31T07:00:00Z,07:00:00,13,7.5,5.2
2017-05-31T06:30:00Z,06:30:00,15,7.5,4.8
2017-05-31T06:00:00Z,06:00:00,9,7.1,4.6
2017-05-31T05:30:00Z,05:30:00,13,7.2,4.6
2017-05-31T05:00:00Z,05:00:00,15,7.2,4.6
2017-05-31T04:30:00Z,04:30:00,11,7.2,4.6
2017-05-31T04:25:00Z,04:25:00,13,7.1,4.6
2017-05-31T04:05:00Z,04:05:00,15,7.1,4.2
2017-05-31T04:00:00Z,04:00:00,13,7,4
2017-05-31T03:33:00Z,03:33:00,13,7.1,3.8
2017-05-31T03:30:00Z,03:30:00,13,7.1,3.8
2017-05-31T03:18:00Z,03:18:00,20,7.4,3.6
2017-05-31T03:00:00Z,03:00:00,13,7.3,3
2017-05-31T02:30:00Z,02:30:00,13,7,3
2017-05-31T02:00:00Z,02:00:00,7,6.9,3
2017-05-31T01:30:00Z,01:30:00,11,7.2,3
2017-05-31T01:10:00Z,01:10:00,15,7.3,3
2017-05-31T01:00:00Z,01:00:00,19,7.2,2.8
2017-05-31T00:48:00Z,00:48:00,15,7.3,2.2
2017-05-31T00:30:00Z,00:30:00,17,7.5,1.6
2017-05-31T00:00:00Z,00:00:00,15,7.8,1.4
2017-05-30T23:30:00Z,23:30:00,11,7.7,1.4
2017-05-30T23:00:00Z,23:00:00,20,8.1,1.4
2017-05-30T22:30:00Z,22:30:00,17,8.3,1.4
2017-05-30T22:00:00Z,22:00:00,24,8.3,1.4
2017-05-30T21:30:00Z,21:30:00,20,8.1,1.4
2017-05-30T21:00:00Z,21:00:00,17,8.6,1.4
2017-05-30T20:30:00Z,20:30:00,19,8.9,1.2
2017-05-30T20:00:00Z,20:00:00,13,9.4,1.2
2017-05-30T19:30:00Z,19:30:00,17,9.3,1.2
2017-05-30T19:00:00Z,19:00:00,17,9.7,1.2
2017-05-30T18:30:00Z,18:30:00,24,9,1.2
2017-05-30T18:26:00Z,18:26:00,9,8.7,1.2
2017-05-30T18:11:00Z,18:11:00,17,8.9,1.2
2017-05-30T18:00:00Z,18:00:00,15,9.1,0
2017-05-30T17:30:00Z,17:30:00,13,9.1,0
2017-05-30T17:00:00Z,17:00:00,32,11.1,0
2017-05-30T16:30:00Z,16:30:00,33,11.1,0
2017-05-30T16:00:00Z,16:00:00,32,12.4,0
2017-05-30T15:30:00Z,15:30:00,30,11.9,0
2017-05-30T15:00:00Z,15:00:00,24,12.9,0
2017-05-30T14:30:00Z,14:30:00,30,11.9,0
2017-05-30T14:00:00Z,14:00:00,24,11.2,0
2017-05-30T13:30:00Z,13:30:00,28,12.6,0
2017-05-30T13:00:00Z,13:00:00,26,12.7,0
2017-05-30T12:30:00Z,12:30:00,28,12.1,0
2017-05-30T12:00:00Z,12:00:00,24,12.3,0
2017-05-30T11:30:00Z,11:30:00,39,12.3,0
2017-05-30T11:00:00Z,11:00:00,26,12.7,0
2017-05-30T10:30:00Z,10:30:00,26,11.8,0
2017-05-30T10:00:00Z,10:00:00,19,11.6,0
2017-05-30T09:30:00Z,09:30:00,15,11.4,0
2017-05-30T09:00:00Z,09:00:00,20,10.9,2.2
2017-05-30T08:30:00Z,08:30:00,20,10.7,2.2
2017-05-30T08:00:00Z,08:00:00,19,10.5,1.8
2017-05-30T07:30:00Z,07:30:00,15,10.6,1.4
